,fluorescence,wavelength (nm),Well
515,453.0,530.0,E6
516,421.0,535.0,E6
517,385.0,540.0,E6
518,360.0,545.0,E6
519,330.0,550.0,E6
520,304.0,555.0,E6
521,285.0,560.0,E6
522,262.0,565.0,E6
523,245.0,570.0,E6
524,223.0,575.0,E6
525,217.0,580.0,E6
526,204.0,585.0,E6
527,191.0,590.0,E6
528,172.0,595.0,E6
529,163.0,600.0,E6
530,421451.0,340.0,F6
531,367939.0,345.0,F6
532,324964.0,350.0,F6
533,290720.0,355.0,F6
534,264111.0,360.0,F6
535,238641.0,365.0,F6
536,20116.0,370.0,F6
537,15501.0,375.0,F6
538,13942.0,380.0,F6
539,11788.0,385.0,F6
540,9840.0,390.0,F6
541,8330.0,395.0,F6
542,7431.0,400.0,F6
543,5811.0,405.0,F6
544,5304.0,410.0,F6
545,4773.0,415.0,F6
546,4149.0,420.0,F6
547,3638.0,425.0,F6
548,3192.0,430.0,F6
549,2820.0,435.0,F6
550,2456.0,440.0,F6
551,2168.0,445.0,F6
552,1870.0,450.0,F6
553,1636.0,455.0,F6
554,1419.0,460.0,F6
555,1261.0,465.0,F6
556,1148.0,470.0,F6
557,1062.0,475.0,F6
558,961.0,480.0,F6
559,863.0,485.0,F6
560,783.0,490.0,F6
561,713.0,495.0,F6
562,639.0,500.0,F6
563,578.0,505.0,F6
564,528.0,510.0,F6
565,485.0,515.0,F6
566,439.0,520.0,F6
567,406.0,525.0,F6
568,369.0,530.0,F6
569,345.0,535.0,F6
570,318.0,540.0,F6
571,294.0,545.0,F6
572,277.0,550.0,F6
573,253.0,555.0,F6
574,241.0,560.0,F6
575,220.0,565.0,F6
576,203.0,570.0,F6
577,193.0,575.0,F6
578,180.0,580.0,F6
579,165.0,585.0,F6
580,154.0,590.0,F6
581,149.0,595.0,F6
582,137.0,600.0,F6
583,422439.0,340.0,F5
584,366433.0,345.0,F5
585,325153.0,350.0,F5
586,291089.0,355.0,F5
587,262317.0,360.0,F5
588,232147.0,365.0,F5
589,20190.0,370.0,F5
590,15523.0,375.0,F5
591,14026.0,380.0,F5
592,12025.0,385.0,F5
593,10029.0,390.0,F5
594,8572.0,395.0,F5
595,7582.0,400.0,F5
596,6038.0,405.0,F5
597,5461.0,410.0,F5
598,4928.0,415.0,F5
599,4292.0,420.0,F5
600,3787.0,425.0,F5
601,3312.0,430.0,F5
602,2919.0,435.0,F5
603,2570.0,440.0,F5
604,2251.0,445.0,F5
605,1947.0,450.0,F5
606,1681.0,455.0,F5
607,1462.0,460.0,F5
608,1299.0,465.0,F5
609,1171.0,470.0,F5
610,1074.0,475.0,F5
611,984.0,480.0,F5
612,884.0,485.0,F5
613,802.0,490.0,F5
614,727.0,495.0,F5
615,660.0,500.0,F5
616,595.0,505.0,F5
617,537.0,510.0,F5
618,483.0,515.0,F5
619,453.0,520.0,F5
620,412.0,525.0,F5
621,388.0,530.0,F5
622,353.0,535.0,F5
623,324.0,540.0,F5
624,302.0,545.0,F5
625,273.0,550.0,F5
626,257.0,555.0,F5
627,237.0,560.0,F5
628,221.0,565.0,F5
629,207.0,570.0,F5
630,194.0,575.0,F5
631,183.0,580.0,F5
632,166.0,585.0,F5
633,158.0,590.0,F5
634,147.0,595.0,F5
635,142.0,600.0,F5
636,418409.0,340.0,G5
637,365251.0,345.0,G5
638,326586.0,350.0,G5
639,290992.0,355.0,G5
640,262881.0,360.0,G5
641,234203.0,365.0,G5
642,20802.0,370.0,G5
643,16086.0,375.0,G5
644,14437.0,380.0,G5
645,12400.0,385.0,G5
646,10260.0,390.0,G5
647,8798.0,395.0,G5
648,7823.0,400.0,G5
649,6293.0,405.0,G5
650,5709.0,410.0,G5
651,5159.0,415.0,G5
652,4504.0,420.0,G5
653,3963.0,425.0,G5
654,3476.0,430.0,G5
655,3062.0,435.0,G5
656,2699.0,440.0,G5
657,2365.0,445.0,G5
658,2021.0,450.0,G5
659,1757.0,455.0,G5
660,1529.0,460.0,G5
661,1340.0,465.0,G5
662,1231.0,470.0,G5
663,1116.0,475.0,G5
664,1017.0,480.0,G5
665,908.0,485.0,G5
666,829.0,490.0,G5
667,749.0,495.0,G5
668,673.0,500.0,G5
669,607.0,505.0,G5
670,549.0,510.0,G5
671,502.0,515.0,G5
672,453.0,520.0,G5
673,419.0,525.0,G5
674,389.0,530.0,G5
675,358.0,535.0,G5
676,332.0,540.0,G5
677,302.0,545.0,G5
678,280.0,550.0,G5
679,256.0,555.0,G5
680,240.0,560.0,G5
681,228.0,565.0,G5
682,214.0,570.0,G5
683,195.0,575.0,G5
684,186.0,580.0,G5
685,173.0,585.0,G5
686,160.0,590.0,G5
687,146.0,595.0,G5
688,141.0,600.0,G5
689,419836.0,340.0,G6
690,369216.0,345.0,G6
691,328810.0,350.0,G6
692,295037.0,355.0,G6
693,264106.0,360.0,G6
694,236147.0,365.0,G6
695,20103.0,370.0,G6
696,15610.0,375.0,G6
697,14065.0,380.0,G6
698,11840.0,385.0,G6
699,9930.0,390.0,G6
700,8482.0,395.0,G6
701,7514.0,400.0,G6
702,5930.0,405.0,G6
703,5454.0,410.0,G6
704,4896.0,415.0,G6
705,4264.0,420.0,G6
706,3729.0,425.0,G6
707,3325.0,430.0,G6
708,2921.0,435.0,G6
709,2560.0,440.0,G6
710,2234.0,445.0,G6
711,1958.0,450.0,G6
712,1670.0,455.0,G6
713,1458.0,460.0,G6
714,1288.0,465.0,G6
715,1169.0,470.0,G6
716,1071.0,475.0,G6
717,986.0,480.0,G6
718,881.0,485.0,G6
719,808.0,490.0,G6
720,720.0,495.0,G6
721,654.0,500.0,G6
722,595.0,505.0,G6
723,531.0,510.0,G6
724,487.0,515.0,G6
725,444.0,520.0,G6
726,412.0,525.0,G6
727,381.0,530.0,G6
728,345.0,535.0,G6
729,317.0,540.0,G6
730,292.0,545.0,G6
731,272.0,550.0,G6
732,253.0,555.0,G6
733,235.0,560.0,G6
734,223.0,565.0,G6
735,207.0,570.0,G6
736,192.0,575.0,G6
737,181.0,580.0,G6
738,170.0,585.0,G6
739,158.0,590.0,G6
740,155.0,595.0,G6
741,140.0,600.0,G6
742,424356.0,340.0,H6
743,368642.0,345.0,H6
744,329482.0,350.0,H6
745,294046.0,355.0,H6
746,266764.0,360.0,H6
747,236379.0,365.0,H6
748,19839.0,370.0,H6
749,15405.0,375.0,H6
750,13821.0,380.0,H6
751,11661.0,385.0,H6
752,9603.0,390.0,H6
753,8158.0,395.0,H6
754,7314.0,400.0,H6
755,5791.0,405.0,H6
756,5211.0,410.0,H6
757,4719.0,415.0,H6
758,4169.0,420.0,H6
759,3656.0,425.0,H6
760,3185.0,430.0,H6
761,2808.0,435.0,H6
762,2478.0,440.0,H6
763,2156.0,445.0,H6
764,1888.0,450.0,H6
765,1626.0,455.0,H6
766,1417.0,460.0,H6
767,1266.0,465.0,H6
768,1148.0,470.0,H6
769,1057.0,475.0,H6
770,959.0,480.0,H6
771,869.0,485.0,H6
772,793.0,490.0,H6
773,717.0,495.0,H6
774,644.0,500.0,H6
775,580.0,505.0,H6
776,529.0,510.0,H6
777,483.0,515.0,H6
778,436.0,520.0,H6
779,403.0,525.0,H6
780,371.0,530.0,H6
781,343.0,535.0,H6
782,321.0,540.0,H6
783,299.0,545.0,H6
784,277.0,550.0,H6
785,253.0,555.0,H6
786,239.0,560.0,H6
787,218.0,565.0,H6
788,206.0,570.0,H6
789,192.0,575.0,H6
790,179.0,580.0,H6
791,165.0,585.0,H6
792,158.0,590.0,H6
793,149.0,595.0,H6
794,136.0,600.0,H6
795,417502.0,340.0,H5
796,369823.0,345.0,H5
797,327132.0,350.0,H5
798,291416.0,355.0,H5
799,263128.0,360.0,H5
800,235915.0,365.0,H5
801,21238.0,370.0,H5
802,16395.0,375.0,H5
803,14803.0,380.0,H5
804,12562.0,385.0,H5
805,10542.0,390.0,H5
806,9048.0,395.0,H5
807,8105.0,400.0,H5
808,6573.0,405.0,H5
809,6140.0,410.0,H5
810,5573.0,415.0,H5
811,4964.0,420.0,H5
812,4378.0,425.0,H5
813,3852.0,430.0,H5
814,3438.0,435.0,H5
815,3097.0,440.0,H5
816,2733.0,445.0,H5
817,2367.0,450.0,H5
818,2049.0,455.0,H5
819,1784.0,460.0,H5
820,1593.0,465.0,H5
821,1417.0,470.0,H5
822,1305.0,475.0,H5
823,1187.0,480.0,H5
824,1066.0,485.0,H5
825,953.0,490.0,H5
826,861.0,495.0,H5
827,773.0,500.0,H5
828,703.0,505.0,H5
829,626.0,510.0,H5
830,567.0,515.0,H5
831,518.0,520.0,H5
832,469.0,525.0,H5
833,429.0,530.0,H5
834,398.0,535.0,H5
835,364.0,540.0,H5
836,327.0,545.0,H5
837,305.0,550.0,H5
838,290.0,555.0,H5
839,264.0,560.0,H5
840,243.0,565.0,H5
841,231.0,570.0,H5
842,208.0,575.0,H5
843,197.0,580.0,H5
844,181.0,585.0,H5
845,179.0,590.0,H5
846,167.0,595.0,H5
847,155.0,600.0,H5
